INSTNM,CITY,STABBR,ZIP,INSTURL,CURROPER,CCBASIC,CCUGPROF,CCSIZSET,YEARS,HCM2,main,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,first_gen,DISTANCEONLY,UGDS,UG,NPT4_ALL,NPT4_LOW,NPT4_MID,NPT4_HIGH,NPT4_PUB,NPT4_PRIV,NPT4_048_PUB,NPT4_048_PRIV,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4_POOLED,C150_L4_POOLED,RPY_3YR_RT,LO_INC_RPY_3YR_RT,MD_INC_RPY_3YR_RT,HI_INC_RPY_3YR_RT,DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,GRAD_DEBT_MDN10YR,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,gt_25k_p6,mn_earn_wne_p6,md_earn_wne_p6,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,mn_earn_wne_inc1_p6,mn_earn_wne_inc2_p6,mn_earn_wne_inc3_p6,gt_25k_p10,count_nwne_p10,count_wne_p10,mn_earn_wne_p10,md_earn_wne_p10,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10,mn_earn_wne_inc1_p10,mn_earn_wne_inc2_p10,mn_earn_wne_inc3_p10
University of Hartford,West Hartford,CT,06117-1599,www.hartford.edu,1,18,10,14,4,0,1,1,3,4,2,41.7965,-72.715,0.6173,0.25999999,0,5026,5367,29140,25810,28310,31318,NULL,29140,NULL,25810,NULL,28310,NULL,31318,33358,33358,NULL,0.546895,NULL,0.859696157,NULL,0.849875931,0.907114625,19944,15512.5,21700,20500,299.75535,31450,27000,8750,5500,0.675728142,36800,34200,9900,20800,49700,64800,35600,35200,37800,0.7790218,154,1697,49500,45900,11600,27900,65400,85200,45400,48600,51200
Housatonic Community College,Bridgeport,CT,06604-4704,www.hcc.commnet.edu,1,2,1,3,2,0,1,1,2,2,1,41.1752,-73.191,NULL,0.600000024,0,5288,3902,5655,NULL,NULL,NULL,5655,NULL,5653,NULL,5763,NULL,5978,NULL,3786,11318,NULL,NULL,0.081702559,0.526717557,0.445652174,0.550724638,0.584158416,4750,5250,NULL,4200,71.83581453,14250,9000,2750,2000,0.47486034,26800,23800,5900,13000,36100,50100,25300,29600,29700,0.588289142,267,1093,33200,30100,5500,14900,44700,67000,NULL,NULL,NULL
Manchester Community College,Manchester,CT,6040,www.mcc.commnet.edu/,1,4,2,3,2,0,1,1,2,2,1,41.7605,-72.5626,NULL,0.560000002,0,6773,5135,4319,NULL,NULL,NULL,4319,NULL,3931,NULL,4367,NULL,7834,NULL,3786,11318,NULL,NULL,0.176368513,0.775641026,NULL,NULL,0.822222222,2869.5,NULL,2500,3500,49.959225,8000,4800,1900,1250,0.52068615,28000,25700,4800,13800,38300,52600,NULL,NULL,NULL,0.64064604,178,743,35500,33800,6900,17800,48400,65600,34400,37700,34500
Naugatuck Valley Community College,Waterbury,CT,06708-3089,www.nv.edu,1,3,2,3,2,0,1,1,2,2,1,41.5496,-73.0712,NULL,0.540000021,0,6627,5116,6145,NULL,NULL,NULL,6145,NULL,5477,NULL,6344,NULL,10425,NULL,3806,3806,NULL,NULL,0.127331765,0.735357918,0.690721649,0.754601227,0.741293532,4200,NULL,3650,4450,59.67351875,11619,7000,2500,1500,0.539598703,31100,27300,6100,15300,42300,62300,27900,34100,37100,0.640826881,149,774,37600,32500,5900,17900,53200,71200,34100,41300,44200
Middlesex Community College,Middletown,CT,06457-4829,www.mxcc.commnet.edu,1,4,2,2,2,0,1,1,2,2,1,41.5395,-72.6118,NULL,0.610000014,0,2403,2309,4319,NULL,NULL,NULL,4319,NULL,3792,NULL,4164,NULL,7802,NULL,3786,11318,NULL,NULL,0.140197872,0.621359223,0.507246377,NULL,0.733333333,4450,5500,NULL,4050,63.42046063,12000,7625,2450,1700,0.501170933,27200,25100,5100,13600,36500,49400,25500,27600,31700,0.612068951,77,232,34000,30100,5500,14800,48700,65700,NULL,NULL,NULL
Mitchell College,New London,CT,6320,www.mitchell.edu,1,22,9,8,4,0,1,1,3,3,2,41.3281,-72.0953,0.5766,0.330000013,0,802,621,28585,23631,26351,32308,NULL,28585,NULL,23631,NULL,26351,NULL,32308,29458,29458,NULL,0.396545474,NULL,0.704761905,0.690647482,NULL,0.796052632,16625,15000,NULL,17750,296.5135514,34500,27000,5750,3750,0.486013979,25600,24400,4700,12700,35700,48500,26600,25800,25100,0.590062141,60,322,34100,29800,5200,14800,46100,62300,32600,36300,33100
Three Rivers Community College,Norwich,CT,6360,www.trcc.commnet.edu,1,2,1,3,2,0,1,1,2,2,1,41.5099,-72.103,NULL,0.50999999,0,4384,3574,4516,NULL,NULL,NULL,4516,NULL,4488,NULL,4219,NULL,7429,NULL,4212,12556,NULL,NULL,0.12153162,0.756756757,0.67816092,NULL,NULL,6100,7949,5414,NULL,116.571525,21000,11847,3500,1925,0.51268357,29000,25400,5600,13500,39500,58200,26200,32600,32100,0.623674929,128,566,37000,32600,6200,16000,50800,72900,NULL,NULL,NULL
University of New Haven,West Haven,CT,6516,www.newhaven.edu,1,18,10,13,4,0,1,1,3,4,2,41.2913,-72.9615,0.7441,0.349999994,0,4759,2537,30503,25815,28434,33032,NULL,30503,NULL,25815,NULL,28434,NULL,33032,33740,33740,NULL,0.551795683,NULL,0.877475248,0.829015544,0.859130435,NULL,20500,20000,22525,20500,299.75535,32000,27000,9500,5500,0.718309879,39100,36500,11600,23200,52200,69700,37200,38400,40100,0.795857966,105,1014,51100,48900,13800,29900,67800,89500,46700,49900,54600
Norwalk Community College,Norwalk,CT,6854,www.ncc.commnet.edu,1,3,1,3,2,0,1,1,2,2,1,41.1026,-73.451,NULL,0.560000002,0,5133,5377,8455,NULL,NULL,NULL,8455,NULL,8314,NULL,8629,NULL,11278,NULL,3786,11318,NULL,NULL,0.08055341,0.75,NULL,NULL,NULL,2750,3500,1750,3500,38.857175,NULL,3500,1750,NULL,0.559274733,30600,27200,4900,14600,40400,59200,NULL,NULL,NULL,0.643911421,124,542,36300,31900,6200,18200,48100,69900,NULL,NULL,NULL
Northwestern Connecticut Community College,Winsted,CT,6098,www.nwcc.commnet.edu,1,4,1,2,2,0,1,1,2,2,1,41.921,-73.0593,NULL,0.540000021,0,1233,1596,4866,NULL,NULL,NULL,4866,NULL,4862,NULL,5007,NULL,4751,NULL,3786,11318,NULL,NULL,0.117626471,NULL,NULL,NULL,NULL,3033,NULL,NULL,3033,NULL,NULL,NULL,NULL,NULL,0.481171548,27000,23700,5500,13200,37700,50600,NULL,NULL,NULL,0.522388041,36,134,27900,27000,3500,12000,36700,54800,NULL,NULL,NULL
Post University,Waterbury,CT,6723,www.post.edu/,1,22,5,10,4,0,1,1,3,4,3,41.5353,-73.0805,0.8302,0.49000001,0,6616,1356,37460,36744,38139,40671,NULL,37460,NULL,36744,NULL,38139,NULL,40671,20925,20925,NULL,0.286547761,NULL,0.611772073,0.512485137,0.684313725,NULL,8099,7166.5,9500,11977,287.0657069,27000,13962,4704,2785,0.680851042,37000,34200,9000,20200,48800,65300,30400,38400,42000,0.675615191,50,447,40500,36600,7300,19600,54600,78800,34600,40400,46000
Quinebaug Valley Community College,Danielson,CT,06239-1436,www.qvcc.edu,1,2,1,2,2,0,1,1,2,2,1,41.8262,-71.8897,NULL,0.620000005,0,1796,1347,6381,NULL,NULL,NULL,6381,NULL,6334,NULL,6550,NULL,6496,NULL,3786,11318,NULL,NULL,0.143779483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3938,3938,2000,2000,0.422705323,23700,21400,3600,11500,33400,41900,NULL,NULL,NULL,0.498489439,106,331,30800,25100,5400,12200,38700,59900,NULL,NULL,NULL
Quinnipiac University,Hamden,CT,6518,www.quinnipiac.edu,1,18,10,14,4,0,1,1,3,4,2,41.4195,-72.8955,0.6722,0.219999999,0,6486,4843,35159,26844,30152,38167,NULL,35159,NULL,26844,NULL,30152,NULL,38167,39330,39330,NULL,0.758448562,NULL,0.955575703,NULL,0.951907131,0.966037736,21852,NULL,23000,21500,288.6533,30000,27000,12000,5500,0.827629149,48500,46100,18100,31900,64300,78700,55000,47200,47900,0.87744534,115,1738,63100,56400,21100,40100,77600,102400,54800,61200,65000
Sacred Heart University,Fairfield,CT,06825-1000,www.sacredheart.edu,1,18,10,14,4,0,1,1,3,4,2,41.2215,-73.2446,0.7624,0.280000001,0,4409,4029,35137,29219,29625,37321,NULL,35137,NULL,29219,NULL,29625,NULL,37321,35050,35050,NULL,0.663509062,NULL,0.905648665,NULL,0.897216274,0.93629124,19500,18750,19770.5,19500,277.55125,29000,27000,8250,4674,0.751499593,42600,40600,12400,25000,56000,72700,36900,41300,43900,0.843726516,90,1331,58300,54100,17100,35900,73900,96600,46900,59900,60300
University of Saint Joseph,West Hartford,CT,6117,www.usj.edu,1,18,11,10,4,0,1,1,3,4,2,41.783,-72.7305,0.857,0.409999996,0,971,1227,24868,21511,23468,27345,NULL,24868,NULL,21511,NULL,23468,NULL,27345,33417,33417,NULL,0.546952013,NULL,0.867326733,NULL,0.914285714,0.915151515,23627,NULL,26828.5,25317,299.75535,37500,29250,12559,5500,0.764127791,42900,41800,14300,25800,56800,72200,41800,40500,46400,0.810590625,52,491,49600,49700,12200,32700,63900,80800,47200,53400,48400
Gateway Community College,New Haven,CT,85034,www.gwcc.commnet.edu/,1,7,1,3,2,0,1,1,2,2,1,41.2885,-72.9259,NULL,0.569999993,0,7275,4157,6963,NULL,NULL,NULL,6963,NULL,6405,NULL,7722,NULL,10932,NULL,3786,11318,NULL,NULL,0.080639425,0.676211454,0.676691729,NULL,0.654054054,3500,NULL,3500,3500,75.48838898,8608,5250,1750,1750,0.522094905,29300,26300,4100,11900,40800,59900,25900,34400,35500,0.604166687,247,912,33700,30200,3700,14600,46900,67500,30600,39100,42000
St Vincent's College,Bridgeport,CT,06606-4201,www.stvincentscollege.edu,1,9,1,1,2,0,1,1,2,3,2,41.2012,-73.2011,0.7167,0.620000005,0,772,265,17343,13627,16064,19685,NULL,17343,NULL,13627,NULL,16064,NULL,19685,19650,19650,NULL,0.6874875,NULL,0.848101266,0.747368421,NULL,NULL,14250,14125,14250,NULL,247.0206125,29500,23563,6555.5,4000,0.881355941,54900,52400,21200,37900,75500,86200,NULL,NULL,NULL,0.884057999,15,138,66400,64000,21700,43400,81600,98100,NULL,NULL,NULL
Southern Connecticut State University,New Haven,CT,06515-1355,www.southernct.edu,1,18,11,13,4,0,1,1,3,4,1,41.3319,-72.9488,0.7542,0.409999996,0,8257,8080,14750,NULL,NULL,NULL,14750,NULL,12253,NULL,13920,NULL,16958,NULL,9020,20486,NULL,0.464016146,NULL,0.806947433,0.753753754,0.798913043,NULL,17404,16142,18455,17500,271.4395715,36488,27323,8250,4685,0.667798281,35600,33200,10300,20600,46200,63200,34700,36300,35700,0.757643878,231,2224,44900,41700,11900,25500,58600,77300,41900,44500,47100
Trinity College,Hartford,CT,06106-3100,www.Trincoll.edu,1,21,12,11,4,0,1,1,3,4,2,41.7467,-72.6887,0.3178,0.170000002,0,2239,2100,26419,7874,12952,35114,NULL,26419,NULL,7874,NULL,12952,NULL,35114,47510,47510,NULL,0.847959459,NULL,0.935406699,NULL,NULL,NULL,19275,NULL,21000,19500,238.694075,30500,26535,9690,5500,0.825072885,50100,45100,13500,29900,64300,87100,44600,46600,53500,0.852173924,25,345,69600,56100,18200,37600,82900,126800,56200,69000,73700
Tunxis Community College,Farmington,CT,06032-3187,www.tunxis.edu,1,4,2,3,2,0,1,1,2,2,1,41.7055,-72.8775,NULL,0.550000012,0,3781,3412,6811,NULL,NULL,NULL,6811,NULL,6472,NULL,6791,NULL,10270,NULL,3786,11318,NULL,NULL,0.10216742,0.713017751,0.641025641,0.752136752,NULL,3500,4500,NULL,3200,94.367425,10700,6464,1987,1111,0.520646334,29500,26000,4600,14500,39800,58100,27400,31900,33700,0.681293309,89,433,36900,34300,8500,20900,50100,65700,NULL,NULL,NULL
Wesleyan University,Middletown,CT,6459,www.wesleyan.edu,1,21,12,14,4,0,1,1,3,4,2,41.5568,-72.6568,0.2092,0.119999997,0,2888,2722,24520,7455,12586,34801,NULL,24520,NULL,7455,NULL,12586,NULL,34801,47244,47244,NULL,0.910952795,NULL,0.962711864,NULL,NULL,NULL,17625,NULL,18003,18875,206.8644977,27000,21100,9993,5500,0.658314347,38400,34800,8500,18300,49100,71300,45000,37200,37100,0.788259983,47,477,62100,50900,11400,29800,71900,105200,59900,56200,63800
Western Connecticut State University,Danbury,CT,06810-6826,www.wcsu.edu,1,19,11,13,4,0,1,1,3,4,1,41.4004,-73.4443,0.6549,0.389999986,0,5184,4881,15864,NULL,NULL,NULL,15864,NULL,13304,NULL,14760,NULL,17837,NULL,8893,20398,NULL,0.435674715,NULL,0.819033531,0.763736264,0.801912568,NULL,17050,16500,18100,16275,269.2247125,33200,26250,8250,4675,0.663256586,36600,33600,9300,20200,48800,65700,34400,36200,37800,0.757057309,137,1169,46800,43300,11100,25700,59300,82600,41300,48800,48400
Yale University,New Haven,CT,6520,www.yale.edu,1,15,12,17,4,0,1,1,3,4,2,41.3102,-72.9289,0.0705,0.140000001,0,5422,5351,16743,7637,7342,35976,NULL,16743,NULL,7637,NULL,7342,NULL,35976,44000,44000,NULL,0.9699,NULL,0.947030498,NULL,0.898203593,NULL,12000,NULL,11200,14000,133.2246,26875,20000,6500,4000,0.818957329,76400,60200,14000,35400,94600,142100,78500,79100,71300,0.855421662,113,996,95300,66000,15400,42400,116600,184800,85400,87400,105400
Delaware Technical Community College-Owens,Georgetown,DE,19947,https://www.dtcc.edu/our-campuses/georgetown,1,2,2,3,2,0,1,1,2,2,1,38.6973,-75.4075,NULL,0.550000012,0,3978,3439,4535,NULL,NULL,NULL,4535,NULL,3932,NULL,5413,NULL,7557,NULL,3380,7910,NULL,NULL,0.174676618,0.643889619,0.596491228,0.701694915,0.676470588,4327,4000,4513.5,4500,65.97948315,11700,8000,2360,1500,0.488648653,27200,24400,6500,14800,36500,51100,23700,30100,35400,0.589071035,204,915,32600,28800,6700,17600,44200,62100,29600,36500,38800
Delaware Technical Community College-Terry,Dover,DE,19901,https://www.dtcc.edu/our-campuses/dover,1,2,2,3,2,0,1,1,2,2,1,39.1984,-75.5601,NULL,0.560000002,0,2857,1958,5045,NULL,NULL,NULL,5045,NULL,3883,NULL,5596,NULL,8038,NULL,3380,7910,NULL,NULL,0.140876796,0.603174603,0.515283843,0.608527132,NULL,4500,4526,4500,4500,88.8164,12929,8250,2613,1750,0.472992688,27900,24000,5400,14300,38100,55300,23800,33800,30100,0.577777803,122,540,32400,29000,6700,16000,43100,64100,NULL,NULL,NULL
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,19801,https://www.dtcc.edu/our-campuses/wilmington,1,7,2,3,2,0,1,1,2,2,1,39.7403,-75.5522,NULL,0.50999999,0,6492,6622,4963,NULL,NULL,NULL,4963,NULL,4092,NULL,5413,NULL,8111,NULL,3380,7910,NULL,NULL,0.082461771,0.707187223,0.665809769,0.692671395,NULL,3775,3500,3733.5,4500,77.71435,11250,7465,2250,1700,0.575414121,31400,28200,6100,16000,42700,61300,28100,34500,36600,0.648543715,205,1030,36500,33500,6100,17100,51700,69400,32400,40300,42900
Delaware State University,Dover,DE,19901,www.desu.edu,1,19,9,14,4,0,1,1,3,4,1,39.1872,-75.5405,0.4168,0.419999987,0,3719,2855,13161,NULL,NULL,NULL,13161,NULL,12826,NULL,13636,NULL,13527,NULL,7336,15692,NULL,0.351262647,NULL,0.535353535,0.512022631,0.539534884,NULL,15000,14149.5,17500,15000,321.95945,42204,30250,7500,4750,0.522608697,27700,25800,5100,14500,37500,49500,26500,26800,30900,0.657559216,145,1098,36100,34200,6600,19900,50000,64300,35500,34500,39400
University of Delaware,Newark,DE,19716,www.udel.edu/,1,15,12,16,4,0,1,1,3,4,1,39.6798,-75.7536,0.6468,0.219999999,0,17729,16110,15998,NULL,NULL,NULL,15998,NULL,11626,NULL,15493,NULL,18641,NULL,12112,29932,NULL,0.809490114,NULL,0.931539065,0.859205776,0.912313433,0.95890411,21000,19334,21250,21250,267.8536093,30383,27000,10667,5500,0.791905701,44100,42500,14900,28000,58500,72700,38600,42700,45600,0.857180595,243,3788,59000,54300,19100,36200,73900,97600,50500,56800,61300
Wesley College,Dover,DE,19901-3875,www.wesley.edu,1,22,9,11,4,0,1,1,3,4,2,39.1633,-75.5274,0.625,0.460000008,0,1481,1513,22422,19720,21690,25775,NULL,22422,NULL,19720,NULL,21690,NULL,25775,23590,23590,NULL,0.266021407,NULL,0.641493056,NULL,0.616336634,NULL,14250,11550,16812,NULL,341.3880375,41457,29500,5500,3166,0.649305582,35000,32300,9300,20100,45000,62300,29800,34700,37300,0.763440847,68,744,45000,41400,12500,26400,58400,79000,38900,43400,49600
Wilmington University,New Castle,DE,19720,www.wilmu.edu,1,17,5,12,4,0,1,1,3,4,2,39.6823,-75.587,NULL,0.5,0,8475,3927,15001,14285,15046,16548,NULL,15001,NULL,14285,NULL,15046,NULL,16548,9950,9950,NULL,0.375757033,NULL,0.688045375,0.635135135,0.692583732,NULL,14000,13489,15340,13166.5,201.9684936,35580,23993,6706,3500,0.690562606,37900,34300,9600,21500,47800,66100,30400,40800,42500,0.787812829,93,919,45000,43000,11700,27200,56600,78200,37200,45300,52200
American University,Washington,DC,20016-8001,WWW.AMERICAN.EDU,1,17,12,17,4,0,1,1,3,4,2,38.9378,-77.0901,0.4312,0.140000001,0,6829,5701,33437,24792,27210,38473,NULL,33437,NULL,24792,NULL,27210,NULL,38473,40649,40649,NULL,0.782630266,NULL,0.927662037,NULL,0.933467742,0.954965358,19500,22000,21830,19500,260.898175,31000,27000,10750,5500,0.784389496,45200,43300,11600,27900,57300,73600,43800,44000,45500,0.831263721,148,1369,63200,55900,15000,35800,81100,110700,61300,64000,63500
Catholic University of America,Washington,DC,20064,www.cua.edu,1,16,10,14,4,0,1,1,3,4,2,38.9358,-76.999,0.6007,0.159999996,0,3641,2609,34086,30838,30096,35432,NULL,34086,NULL,30838,NULL,30096,NULL,35432,38526,38526,NULL,0.679675814,NULL,0.924675325,NULL,NULL,0.95037594,22000,NULL,25000,22387.5,288.6533,29000,27000,10750,5500,0.760759473,43900,42600,13000,26700,57800,74700,41400,43400,44800,0.849489808,76,784,58200,54500,14000,36200,77400,97200,48600,55500,60200
University of the District of Columbia,Washington,DC,20008,www.udc.edu,1,20,5,12,4,0,1,2,3,4,1,38.9438,-77.0662,NULL,0.550000012,0,4487,5008,15453,NULL,NULL,NULL,15453,NULL,15074,NULL,16026,NULL,19360,NULL,5138,8778,NULL,0.155446188,NULL,0.51030422,0.542288557,0.467084639,NULL,9500,9500,9500,10250,222.041,32057,19454,4746,2250,0.527184486,29900,26700,4400,11900,42300,60500,NULL,NULL,NULL,0.670689642,301,1160,39500,36200,8000,18700,55100,73400,NULL,NULL,NULL
Gallaudet University,Washington,DC,20002-3695,www.gallaudet.edu,1,20,9,11,4,0,1,1,3,4,2,38.9074,-76.9937,0.6558,0.330000013,0,1053,1258,11804,10361,10234,18323,NULL,11804,NULL,10361,NULL,10234,NULL,18323,13800,13800,NULL,0.402092167,NULL,0.760135135,0.704545455,0.791208791,NULL,12000,10612.5,12121,NULL,181.191007,30968,21722,5500,3211,0.474048436,28100,22700,3700,10600,39800,58100,30100,25000,27100,0.513513505,86,296,30900,25600,4600,12200,44000,60300,30400,28900,34600
George Washington University,Washington,DC,20052,www.gwu.edu,1,15,12,17,4,0,1,1,3,4,2,38.8987,-77.0479,0.3308,0.140000001,0,10121,8837,30206,18775,21212,37097,NULL,30206,NULL,18775,NULL,21212,NULL,37097,47343,47343,NULL,0.801883169,NULL,0.951241535,0.924242424,0.950724638,0.962821735,22723,24003,25000,21500,279.4941088,33400,29400,13000,6500,0.829811513,56300,49100,15500,33000,68000,97600,68900,56500,51500,0.86690104,230,1991,76500,64500,19300,42100,96100,137200,93400,74000,72600
Georgetown University,Washington,DC,20057-0001,www.georgetown.edu,1,15,12,17,4,0,1,1,3,4,2,38.9088,-77.0735,0.1697,0.129999995,0,7261,6418,27801,10516,13605,39330,NULL,27801,NULL,10516,NULL,13605,NULL,39330,44805,44805,NULL,0.928865118,NULL,0.965659341,NULL,0.966824645,0.976223776,17125,NULL,17125,17125,194.285875,28189,22015,9830,5500,0.891628802,86100,66000,23300,44500,105500,179900,100500,87400,71200,0.913362682,146,1362,110800,83300,28500,52200,136500,221900,125100,101100,106400
Howard University,Washington,DC,20059-0001,www.howard.edu,1,16,10,14,4,0,1,1,3,4,2,38.9207,-77.0195,0.493,0.25999999,0,6855,6569,22823,22273,26309,21164,NULL,22823,NULL,22273,NULL,26309,NULL,21164,22683,22683,NULL,0.619971752,NULL,0.585118377,0.581095596,0.579365079,NULL,24250,25000,25000,22500,299.75535,42000,31040,11983,5500,0.675000012,40300,35000,8900,19600,53700,74000,42500,41500,36800,0.746440291,208,1826,50000,46500,8800,24700,69200,92800,50200,49300,50700
Medtech Institute,Falls Church,VA,22042,medtech.edu,1,10,4,2,2,0,1,1,1,2,3,38.8695,-77.148,NULL,0.680000007,0,1373,525,18772,18772,21130,NULL,NULL,18772,NULL,18772,NULL,21130,NULL,NULL,NULL,NULL,17000,NULL,0.717172467,0.420071048,0.401565996,0.482758621,0.551724138,9236,9236,9236,NULL,102.5385338,9500,9236,5346,3167,0.47333771,24600,23600,5500,12500,33900,42700,NULL,NULL,NULL,0.555729985,325,1274,29300,27400,8100,15100,39200,51600,NULL,NULL,NULL
Strayer University-District of Columbia,Washington,DC,20005,www.strayer.edu/district-columbia/washington,1,18,5,15,4,0,1,99,3,4,3,38.9049,-77.0343,NULL,0.50999999,0,871,1213,15495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15495,15495,NULL,0.4667,NULL,0.444774917,0.375604461,0.533216207,0.656020558,12500,9500,24000,24991,438.525424,51000,34932,4960,2276,0.722576857,44200,38900,9600,22800,58500,83200,30700,46600,64100,0.785714269,804,5264,56800,51700,11500,29100,78200,106500,43200,58900,72200
Trinity Washington University,Washington,DC,20017-1094,www.trinitydc.edu,1,18,7,9,4,0,1,1,3,4,2,38.9274,-77.0043,0.5231,0.5,0,1810,895,14421,13428,15137,19135,NULL,14421,NULL,13428,NULL,15137,NULL,19135,21630,21630,NULL,0.32407038,NULL,0.50918197,0.473856209,0.529953917,NULL,16375,14250,18750,20375,337.2247688,42599,30975,7906.5,4750,0.528089881,31400,26900,5300,14600,42900,63400,NULL,NULL,NULL,0.79411763,42,272,52500,52100,11400,28400,69000,92200,43800,54500,63600
Barry University,Miami,FL,33161-6695,www.barry.edu,1,17,9,13,4,0,1,2,3,4,2,25.8789,-80.1961,0.4678,0.439999998,0,4284,5777,20129,18560,19151,26396,NULL,20129,NULL,18560,NULL,19151,NULL,26396,28160,28160,NULL,0.390019907,NULL,0.74662513,0.704596835,0.751200768,NULL,21500,23000,22000,17500,331.7736622,46250,34168,9500,4750,0.712097228,42300,38900,10700,22200,54500,77200,37900,41900,49400,0.806081951,302,2269,50800,45300,13800,30100,65600,93200,43300,50700,60200
Bethune-Cookman University,Daytona Beach,FL,32114-3099,www.cookman.edu,1,22,9,14,4,0,1,1,3,4,2,29.2102,-81.0314,0.666,0.409999996,0,3723,2745,17057,16475,17534,21398,NULL,17057,NULL,16475,NULL,17534,NULL,21398,14410,14410,NULL,0.469190244,NULL,0.381695268,0.369827586,0.366666667,NULL,18750,16300,20224,19000,395.7880825,47500,33850,9500,4900,0.405607462,24100,21800,5300,12600,32500,44800,23200,24400,25500,0.578181803,150,1100,33100,28700,6800,16300,42700,58500,31400,33100,38300
Lynn University,Boca Raton,FL,33431-5598,www.lynn.edu,1,17,9,10,4,0,1,1,3,4,2,26.3828,-80.1239,0.776,0.289999992,0,1732,1817,33074,31304,31072,37681,NULL,33074,NULL,31304,NULL,31072,NULL,37681,33600,33600,NULL,0.407421111,NULL,0.763537906,NULL,0.783333333,NULL,13000,12918.5,NULL,12000,216.489975,29250,21125,6250,3500,0.602822602,33300,30300,4800,15500,45400,62200,28700,33700,35700,0.660098493,77,406,42100,35500,6300,17300,57100,84400,39300,42300,43700
Eastern Florida State College,Cocoa,FL,32922,www.easternflorida.edu,1,3,2,5,2,0,1,1,2,2,1,28.3848,-80.7581,NULL,0.419999987,0,12736,13265,6953,NULL,NULL,NULL,6953,NULL,6752,NULL,7716,NULL,10604,NULL,2496,9739,NULL,0.4493,NULL,0.545397026,0.488384657,0.630820399,0.636094675,6707,7309.5,5984,5500,96.9875088,18189,11923.5,3500,2136,0.446219385,25500,22900,5600,12800,34800,47700,23800,27800,31500,0.572003603,602,2236,32700,28700,6100,15600,44000,62600,29900,37700,40300
Broward College,Fort Lauderdale,FL,33301,www.broward.edu,1,7,1,5,2,0,1,1,2,3,1,26.0797,-80.2354,NULL,0.469999999,0,39162,27389,8286,NULL,NULL,NULL,8286,NULL,7897,NULL,9171,NULL,12608,NULL,2542,8712,NULL,0.301473018,NULL,0.623975183,0.609094383,0.650246305,0.629976581,4500,4500,4500,4864,77.71435,15000,9000,2727,1750,0.525868058,28900,26100,5700,14400,38700,54600,27300,31600,33900,0.648908854,1384,6232,37000,33400,8000,18200,49100,70000,35000,39600,44100
Fortis College-Winter Park,Winter Park,FL,32789,www.fortis.edu,1,10,4,1,2,0,1,4,1,2,3,28.5554,-81.4484,NULL,0.560000002,0,59,215,27342,27344,26092,30144,NULL,27342,NULL,27344,NULL,26092,NULL,30144,NULL,NULL,NULL,NULL,0.486447425,0.38722966,0.35286285,0.513227513,NULL,12417,11875,13000,NULL,154.0409438,28680,19406,7500,3167,0.336585373,20500,18600,3900,11000,28100,36100,NULL,NULL,NULL,0.414396882,125,514,23000,20900,3600,11100,32400,41600,NULL,NULL,NULL
Carlos Albizu University-Miami,Miami,FL,33172-2209,www.mia.albizu.edu,1,19,5,6,4,0,0,2,3,4,2,25.7952,-80.355,0.3621,0.439999998,0,263,103,15330,15330,15805,NULL,NULL,15330,NULL,15330,NULL,15805,NULL,NULL,12048,12048,NULL,0.268290244,NULL,0.627272727,0.594202899,NULL,NULL,11708,10475,15625,12250,209.7177245,33750,24500,4000,2500,0.48859936,28100,24800,5200,12600,39100,55400,NULL,NULL,NULL,0.5,70,256,29000,24900,5500,11900,42900,53500,NULL,NULL,NULL
College of Central Florida,Ocala,FL,34474,www.cf.edu,1,3,2,4,2,0,1,1,2,3,1,29.1661,-82.1757,NULL,0.519999981,0,7113,5230,8059,NULL,NULL,NULL,8059,NULL,7519,NULL,8920,NULL,9644,NULL,2522,10126,NULL,0.409895545,NULL,0.486849795,0.414712154,0.553043478,0.662721893,7770.5,8000,7389,6500,117.9703833,25761,15449,3500,2250,0.471776992,26000,24000,5400,13500,35100,48100,24600,28000,30700,0.586353958,383,1407,32900,29700,7100,15700,43700,61000,30400,35700,42500
University of Central Florida,Orlando,FL,32816,www.ucf.edu/,1,15,8,15,4,0,1,1,3,4,1,28.6011,-81.1988,0.4894,0.340000004,0,50919,28252,14048,NULL,NULL,NULL,14048,NULL,11637,NULL,13862,NULL,17267,NULL,6317,22416,NULL,0.661416477,NULL,0.852875489,0.828150573,0.851958225,NULL,15000,15000,15000,15000,205.387925,32499.5,25000,7121.5,3500,0.692595363,36800,34700,10500,21800,47400,63600,36700,36600,37000,0.785994709,881,7897,48900,43000,13000,28100,62200,86600,47700,49200,50100
